Ticker,Correlation Max,Offset Correlation,STDDEV,Period,Measures,Employees Ratio
MCK,-0.48596276134469235,116.0,1629.628034224914,1035,1018,0.8022712702628446
SNY,0.8524066915170501,181.0,15003.520809834416,1035,1015,0.6879223526328597
PM,0.8718148373154933,186.0,6178.067990448429,1035,1016,0.4961527500712454
INTC,0.9216010516426112,6.0,8664.29796358084,1035,1022,0.7784981503375157
COP,0.6417747867605704,5.0,1447.0662611877594,1035,1019,0.896932631678756
F,-0.3446584822837075,9.0,28433.55385820088,1035,1021,0.49389983841029367
DIS,0.776164063295268,211.0,30869.33662716093,1035,1020,0.7169594702835478
MCD,,211.0,43081.055082550025,1035,1018,0.8206496947579902
AAPL,0.9044923017360216,0.0,26039.514159567152,1035,1025,0.5585810266057512
TM,0.6929825189390291,46.0,2987.7421933835067,1035,1015,0.784321615393057
V,0.93004321484448,5.0,1048.758693059932,1035,1015,0.6583239140965607
WMT,0.895664592591193,75.0,56018.0430249589,1035,1012,0.5586136768895062
BIIB,0.46933056328631834,4.0,255.4674617748956,1035,1023,0.8658829815655891
CVX,0.9107854962896745,142.0,6965.715720426231,1035,1020,0.759498147048007
LLY,0.6634274097490779,181.0,2750.0622801581335,1035,1018,0.831985734176906
ORCL,0.8412991875649952,37.0,9964.812616327321,1035,1017,0.8514697235137576
MS,0.9629811379148532,23.0,6420.298564138079,1035,1017,0.7707607525178944
SBUX,0.19956044186700017,20.0,18572.810086401172,1035,1022,0.49605452833490266
BLK,0.9090399411603471,0.0,1629.150884739354,1035,1020,0.727282957294773
GILD,-0.6554176842575022,0.0,1042.5288187318663,1035,1022,0.72639336711193
CELG,,211.0,816.882336624419,1035,1022,0.7097109826589595
PFE,0.8398013782828461,47.0,13120.410044552797,1035,1014,0.6316247169625571
PRU,0.901472090285932,48.0,3359.3022231580103,1035,1016,0.666019937111126
COST,0.743058280503555,1.0,5602.492534613705,1035,1021,0.6659411900902987
TMO,0.9526947049246679,46.0,7513.035679417794,1035,1012,0.48588745750581497
TGT,-0.12018229461858185,0.0,14456.860034471261,1035,1015,0.6631752526949033
ABBV,0.8481528769466823,211.0,1796.1152404440093,1035,1019,0.7829561110017713
BAC,0.8754279473697205,211.0,30829.232236376214,1035,1017,0.7568083048897485
T,0.8364890695559166,205.0,21237.4287194364,1035,928,0.7474539361299829
DBX,,211.0,357.62565524769576,1035,1008,0.5649981994958588
LMT,0.9222041171687038,54.0,6597.5445406847675,1035,1018,0.7812554588518172
MSFT,0.8255217151119738,190.0,7293.996164287114,1035,1023,0.8119072293423936
FL,0.14387135398896136,211.0,168.38334126806157,1035,1017,0.5655206776283009
MET,0.870225806227908,46.0,4931.432878826732,1035,1018,0.7133673588654693
CVS,-0.798766158021266,99.0,5785.290145045434,1035,1019,0.721250629089079
MO,0.8290791391593977,113.0,242.9895096739682,1035,1018,0.8192280028770079
NKE,0.49151781165264896,0.0,12513.981726770746,1035,1016,0.47007362268049324
JNJ,0.6015663833366076,211.0,17609.841235392858,1035,933,0.7317208182912154
AMGN,0.8223430279116088,20.0,2274.5970746522225,1035,1024,0.742037388040287
PEP,0.9038975237428064,84.0,13372.786871228349,1035,1016,0.683906096138092
FB,0.9538430948135497,101.0,5238.838360514751,1035,1023,0.3512284774617914
LB,-0.05776451898062508,0.0,14594.821974219003,1034,1018,0.5559248891999067
BBT,,211.0,2592.2332436564443,1034,933,0.6996589801883728
CAT,0.9707581883569648,21.0,4008.770463864086,1034,1018,0.7297433519485494
PPG,0.6834144449673508,55.0,2066.113081261216,1034,1015,0.7191052607354904
STT,0.9303433794428152,26.0,3327.2497260971872,1034,1013,0.7396907953019175
PSA,-0.4059798408482432,211.0,252.03985347955992,1034,1015,0.6745967741935484
CI,0.8268147366884359,0.0,2765.448459353034,1034,1018,0.6793212102805513
KMB,0.5028378353359895,211.0,2540.7207736162577,1034,1017,0.7706657298436677
SU,0.8650788436616367,57.0,1011.3807635677799,1034,1013,0.8547804335742079
ERIC,-0.6354808921770277,0.0,6525.182274500733,1034,1022,0.8598373641885855
EBAY,0.8770125581236287,193.0,2880.8041330743686,1034,1021,0.8046003362372001
ADBE,0.8868443233406993,1.0,1725.5137192638222,1034,1022,0.686320131140606
ICE,0.680678564581772,1.0,946.3770525927595,1034,1017,0.19945872801082545
AAL,0.753257967685592,57.0,5777.872850566235,1034,1029,0.6655546131373103
VLO,0.8101229233764891,1.0,871.5459303594483,1034,1012,0.7231202547146706
MPC,0.8818907531092922,0.0,736.1201271244485,1034,1016,0.6995330953034881
HUM,0.9363531255623281,136.0,2913.584583845586,1034,1017,0.7912359749094443
SSTK,0.37151927604609425,211.0,529.5647568094627,1034,1014,0.4001375042970093
EOG,0.8025844782301201,42.0,316.72971396622415,1034,1019,0.7224239039374476
STZ,0.9742566721693174,19.0,397.4808628110765,1034,1013,0.6520991897863982
CSX,0.9341690944551219,211.0,1095.5822432309706,1034,1020,0.7929263157894737
YUM,0.9392874735656433,0.0,1998.80094733614,1034,1010,0.4020618556701031
BAM,0.9224925483679136,118.0,175.74712291456765,1034,1018,0.6021505376344086
SYK,0.9053564910404034,0.0,9227.195455976878,1034,1011,0.4279493076283212
NFLX,0.9104212662115867,122.0,725.4529971386095,1034,1018,0.4387796065837013
DAL,0.7035186109156317,0.0,4621.620422175519,1034,1017,0.7104875955368456
LVS,0.8913873845431439,1.0,115.66753534086571,1034,1015,0.639821029082774
NOC,0.9289127531955513,151.0,7020.334695568503,1034,1014,0.8856758818614451
ORAN,0.7811843172492136,123.0,22329.535376993037,1034,1014,0.653601609005239
ECL,0.7318080837446493,208.0,5869.28704702389,1034,1017,0.7762841795556995
ENB,0.332898683351676,211.0,2221.602527138266,1034,1017,0.6497571001494769
YELP,0.8278829609513121,30.0,1795.3625032422449,1034,1011,0.4136834547133039
ILMN,0.7953110168174776,0.0,680.5174011605495,1034,1023,0.6203797897592405
GIS,0.3134609602884267,211.0,1709.4778136864918,1034,1020,0.7648323301805675
PSX,0.6680387677513754,1.0,826.1709707422713,1034,1016,0.7150153217568948
FDX,0.5095443307655286,205.0,34430.95795631398,1034,1020,0.6716653338517861
INTU,0.6839558897532588,56.0,475.7369647504994,1034,1022,0.8766278954170394
NBL,-0.2369330638018282,211.0,216.55042486510553,1033,1015,0.8037772087067862
JBLU,0.010831686831494054,23.0,1106.2993093027521,1033,1020,0.702508282063417
WM,0.945133175161679,153.0,1757.4169216013456,1033,1010,0.7228481297881929
PHM,0.6885408753174558,148.0,242.95057603826547,1033,1014,0.6924762600438276
SYMC,,211.0,1300.2634394668362,1033,1019,1.0158683015825873
HBI,-0.7511526229509193,205.0,667.3608749156507,1033,1017,0.6777034741477737
BOX,0.9527444326456972,49.0,590.0665892773388,1033,1008,0.4636363636363636
CDW,0.9194293949034494,32.0,615.4729830463945,1033,1021,0.8489830329855622
MGA,0.7550985350035727,17.0,2490.1255045080225,1033,1016,0.7224263979450701
FISV,0.9256359578736544,1.0,2150.8828591027677,1033,1021,0.7101402915505187
MHK,0.828446310427847,59.0,513.8089249900705,1033,1015,0.7769684356573014
KMX,0.7884683194309857,55.0,1156.203349969576,1033,1016,0.6359983929288872
ADSK,0.8218770592751172,2.0,498.80504079350635,1033,1021,0.8140423335054208
AVB,0.634349422459347,159.0,146.6026516233392,1033,1018,0.7455811462238886
GLW,0.8029871012086719,211.0,2049.331462741338,1033,1018,0.6649867002659947
HRB,0.07034199714944604,35.0,893.1467913137278,1033,932,0.6418384637108161
XLNX,0.9567113094840504,2.0,205.51693051421756,1033,1019,0.7889557135046473
LEA,0.9599836587057007,4.0,3721.8836595314983,1033,1016,0.5350959655307481
SRCL,-0.8327450586797732,184.0,606.2946481143158,1033,1019,0.6246960750260507
Z,0.8157050578764697,102.0,85.88626736664291,1033,1019,0.7953586497890295
CTAS,0.9582547586802818,50.0,2557.4861257907555,1033,1021,0.6080079348506995
VRSK,0.7519297802292405,184.0,167.38259330904663,803,790,0.5628997867803838
SRE,0.7901283095103463,150.0,87.67321217159223,1033,1013,0.9267225665329931
IT,0.9328375173429583,53.0,1273.7961767804265,1033,1016,0.5989843271167148
HST,0.8732212884774398,4.0,22.987121822541383,1033,930,0.821875
SEE,0.13379720878108226,115.0,1495.8301337129349,1033,1013,0.5899959415584416
UAA,-0.8685921468773747,190.0,1287.8775273455674,1033,1012,0.5565590426732897
NTAP,0.3761085012045572,211.0,709.9855728968336,1033,1020,1.0541252442858358
ALNY,0.5706198706532642,0.0,196.17531384352066,1033,1021,0.3484119345524543
PLD,0.9647485497076576,145.0,83.01980512703133,1033,1014,0.8292939936775553
EXC,0.3208882983266553,211.0,7476.276918256747,1033,1018,0.6887045813586098
MMC,0.8671868069511661,195.0,21520.274477600036,1033,932,0.1141904163174071
TRIP,-0.6110924994456819,0.0,740.6607460614131,1033,1019,0.5281619563038685
WDAY,0.8941092571573531,1.0,1521.0899080726128,1033,1010,0.5038577986131458
SABR,-0.5694575556302331,1.0,526.151897570629,1033,1019,0.8080346952750513
NUE,0.5995328220250521,211.0,613.2494956875822,1033,1014,0.8255892255892255
CMG,-0.5896099976105393,0.0,2265.1332884921203,1033,1016,0.4515405757268914
JNPR,0.23060591421813628,5.0,485.4143408144857,1033,1014,0.8802401302401303
TSCO,-0.618388564420884,0.0,813.8243763433072,1033,1017,0.5597269624573379
ROK,0.955635457380112,27.0,1817.2801935032237,1033,1011,0.7587205094803879
RHT,,211.0,1063.851080169253,1033,1011,0.6230325545019063
CE,0.958535872376924,8.0,573.0542938192973,1033,1015,0.6874276899344389
XEC,0.23646625139553198,119.0,50.83461268088608,1033,1007,0.7931873479318735
EMN,0.9458522225396054,36.0,752.9989767856258,1033,1016,0.7602812699765609
CERN,0.4698530928686528,96.0,2755.9507875861773,1033,1019,0.6678837974480378
CMI,0.9573317466338307,103.0,2025.424560463763,1033,1015,0.8241302055877702
S,,211.0,21756.49549002353,1033,1011,0.3846917890681435
ARMK,0.8945513140263532,82.0,3035.71964681825,1033,1016,0.7395066940055481
OMC,-0.040535758289691935,211.0,16244.870778106775,1033,1013,0.8505699374237271
WHR,0.7448535342496999,171.0,3165.6613051104064,1033,1008,0.6697282021444602
SAVE,0.4159696969240107,211.0,459.7850842323565,1033,1018,0.547997644287397
BAX,0.7932346358560484,134.0,1289.9358773339925,1033,1016,1.032507228418009
HSY,0.8937296475024074,110.0,484.659329909712,1033,1014,0.812778603268945
CBT,0.7114681555396809,211.0,255.85599976488876,1033,1015,0.7974366989684276
VIA,,211.0,6999.927679053387,1033,1017,0.7963474753510607
AA,0.5741568281434167,0.0,561.7845090487607,1033,1017,0.9557431742357186
AZO,-0.5516841935471063,91.0,2087.2736334579427,1033,1016,0.5446012387459294
EQIX,0.9118947989018469,142.0,1079.4191300925438,1033,1019,0.49147242751563386
SPLK,0.8585139319840395,14.0,580.8987945746998,1033,1017,0.44376677238350815
NEM,0.644021717336946,186.0,512.2423558812212,1033,1016,0.8253335643735921
CPB,-0.1053188108653379,211.0,1673.6900575967627,1033,1019,0.6015671375994301
PCAR,0.506135528498791,211.0,1874.741348542532,1033,1021,0.7899956408020924
MGM,0.8115378074412273,140.0,5856.381351667646,1033,1016,0.25312004754358164
GPC,0.4296127546037429,173.0,299.03296109593634,1033,1019,0.8148657949070888
RL,0.404315812751862,0.0,1656.1450715436847,1033,1014,0.6997694847673043
MRO,0.5101848080294826,1.0,445.1330732045541,1033,1016,0.7973679117476292
NTES,0.9265820802809036,211.0,2125.801235568837,1033,1021,0.2441947565543071
LEN,0.8230789421881449,68.0,688.9982279026,1033,1017,0.5821882951653944
PAYX,0.8850570899178246,111.0,1426.1043939195488,1033,1021,0.7280089360513823
DG,0.6037153880846284,1.0,4849.218227468124,1033,1019,0.4373007823819183
HES,0.0872824988625474,0.0,610.0644510253628,1033,1018,0.8068001271051796
KIM,-0.5124772515270378,211.0,119.87424464749483,1033,1017,0.6276703967446592
