dataset_id,as_of_date,company_name,employees_on_platform,industry,ticker
58423,2015-09-16,Lockheed Martin,76031,Defense & Space,LMT
58423,2015-09-17,Lockheed Martin,76048,Defense & Space,LMT
58880,2015-09-18,Eastman Chemical Company,7136,Chemicals,EMN
58881,2015-09-18,Cerner Corporation,16645,Information Technology and Services,CERN
58883,2015-09-18,Cummins Inc.,25014,Automotive,CMI
58423,2015-09-18,Lockheed Martin,76049,Defense & Space,LMT
58880,2015-09-19,Eastman Chemical Company,7141,Chemicals,EMN
58881,2015-09-19,Cerner Corporation,16652,Information Technology and Services,CERN
58883,2015-09-19,Cummins Inc.,25011,Automotive,CMI
58935,2015-09-19,Centene Corporation,5845,Hospital & Health Care,CNC
58423,2015-09-19,Lockheed Martin,76053,Defense & Space,LMT
58880,2015-09-20,Eastman Chemical Company,7139,Chemicals,EMN
58881,2015-09-20,Cerner Corporation,16655,Information Technology and Services,CERN
58883,2015-09-20,Cummins Inc.,25016,Automotive,CMI
58935,2015-09-20,Centene Corporation,5845,Hospital & Health Care,CNC
58423,2015-09-20,Lockheed Martin,76065,Defense & Space,LMT
58880,2015-09-21,Eastman Chemical Company,7096,Chemicals,EMN
58881,2015-09-21,Cerner Corporation,14804,Information Technology and Services,CERN
58883,2015-09-21,Cummins Inc.,23905,Automotive,CMI
58935,2015-09-21,Centene Corporation,5870,Hospital & Health Care,CNC
58423,2015-09-21,Lockheed Martin,66464,Defense & Space,LMT
58880,2015-09-22,Eastman Chemical Company,7094,Chemicals,EMN
58881,2015-09-22,Cerner Corporation,14835,Information Technology and Services,CERN
58883,2015-09-22,Cummins Inc.,23915,Automotive,CMI
58935,2015-09-22,Centene Corporation,5871,Hospital & Health Care,CNC
58423,2015-09-22,Lockheed Martin,66488,Defense & Space,LMT
59205,2015-09-23,Five Below,1054,Retail,FIVE
58880,2015-09-23,Eastman Chemical Company,7100,Chemicals,EMN
58881,2015-09-23,Cerner Corporation,14872,Information Technology and Services,CERN
58883,2015-09-23,Cummins Inc.,23954,Automotive,CMI
58935,2015-09-23,Centene Corporation,5878,Hospital & Health Care,CNC
58423,2015-09-23,Lockheed Martin,66539,Defense & Space,LMT
59205,2015-09-24,Five Below,1055,Retail,FIVE
58880,2015-09-24,Eastman Chemical Company,7103,Chemicals,EMN
58881,2015-09-24,Cerner Corporation,14935,Information Technology and Services,CERN
58883,2015-09-24,Cummins Inc.,23983,Automotive,CMI
58935,2015-09-24,Centene Corporation,5889,Hospital & Health Care,CNC
58423,2015-09-24,Lockheed Martin,66589,Defense & Space,LMT
59205,2015-09-25,Five Below,1056,Retail,FIVE
58880,2015-09-25,Eastman Chemical Company,7121,Chemicals,EMN
58881,2015-09-25,Cerner Corporation,14992,Information Technology and Services,CERN
58883,2015-09-25,Cummins Inc.,23992,Automotive,CMI
58935,2015-09-25,Centene Corporation,5899,Hospital & Health Care,CNC
58423,2015-09-25,Lockheed Martin,66618,Defense & Space,LMT
59205,2015-09-26,Five Below,1058,Retail,FIVE
58880,2015-09-26,Eastman Chemical Company,7126,Chemicals,EMN
58881,2015-09-26,Cerner Corporation,15016,Information Technology and Services,CERN
58883,2015-09-26,Cummins Inc.,24004,Automotive,CMI
58935,2015-09-26,Centene Corporation,5902,Hospital & Health Care,CNC
58423,2015-09-26,Lockheed Martin,66651,Defense & Space,LMT
59205,2015-09-27,Five Below,1060,Retail,FIVE
58880,2015-09-27,Eastman Chemical Company,7126,Chemicals,EMN
58881,2015-09-27,Cerner Corporation,15050,Information Technology and Services,CERN
58883,2015-09-27,Cummins Inc.,24014,Automotive,CMI
58935,2015-09-27,Centene Corporation,5907,Hospital & Health Care,CNC
58423,2015-09-27,Lockheed Martin,66673,Defense & Space,LMT
59205,2015-09-28,Five Below,1061,Retail,FIVE
58880,2015-09-28,Eastman Chemical Company,7133,Chemicals,EMN
58881,2015-09-28,Cerner Corporation,15077,Information Technology and Services,CERN
58883,2015-09-28,Cummins Inc.,24025,Automotive,CMI
58935,2015-09-28,Centene Corporation,5921,Hospital & Health Care,CNC
58423,2015-09-28,Lockheed Martin,66701,Defense & Space,LMT
59205,2015-09-29,Five Below,1061,Retail,FIVE
58880,2015-09-29,Eastman Chemical Company,7137,Chemicals,EMN
58881,2015-09-29,Cerner Corporation,15084,Information Technology and Services,CERN
58883,2015-09-29,Cummins Inc.,24032,Automotive,CMI
58935,2015-09-29,Centene Corporation,5922,Hospital & Health Care,CNC
58423,2015-09-29,Lockheed Martin,66711,Defense & Space,LMT
59205,2015-09-30,Five Below,1065,Retail,FIVE
58880,2015-09-30,Eastman Chemical Company,7146,Chemicals,EMN
58881,2015-09-30,Cerner Corporation,15167,Information Technology and Services,CERN
58883,2015-09-30,Cummins Inc.,24076,Automotive,CMI
58935,2015-09-30,Centene Corporation,5935,Hospital & Health Care,CNC
58423,2015-09-30,Lockheed Martin,66766,Defense & Space,LMT
59205,2015-10-01,Five Below,1066,Retail,FIVE
58880,2015-10-01,Eastman Chemical Company,7148,Chemicals,EMN
58881,2015-10-01,Cerner Corporation,15182,Information Technology and Services,CERN
58883,2015-10-01,Cummins Inc.,24086,Automotive,CMI
58935,2015-10-01,Centene Corporation,5942,Hospital & Health Care,CNC
58423,2015-10-01,Lockheed Martin,66814,Defense & Space,LMT
59205,2015-10-02,Five Below,1066,Retail,FIVE
